               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045039,             0.06194,            0.077441,             0.68537,             0.24097,             0.29568,             0.17789,            0.038416,            0.048151,            0.070225,            0.070566,           0.0032704,           0.0032704
                   1,            0.047396,             0.05481,            0.067826,             0.71356,             0.27932,             0.33015,             0.18637,            0.042201,             0.04741,             0.06006,            0.040501,           0.0065384,           0.0065384
                   2,            0.048659,            0.054365,            0.068385,             0.73064,               0.254,             0.29974,             0.16426,            0.043777,            0.047247,            0.063727,            0.010369,           0.0097404,           0.0097404
                   3,              0.0491,            0.052687,             0.06838,             0.75293,             0.26005,              0.3201,              0.1765,            0.040728,            0.044809,            0.062049,            0.009703,            0.009703,            0.009703
                   4,            0.048112,            0.054815,            0.068024,             0.79731,             0.26649,             0.33135,             0.17389,            0.040858,            0.042935,            0.059503,            0.009703,            0.009703,            0.009703
                   5,            0.047691,             0.05324,             0.06725,             0.74245,             0.28964,             0.34898,             0.19467,            0.040222,            0.041966,            0.058196,            0.009604,            0.009604,            0.009604
                   6,            0.046639,            0.053338,            0.066326,             0.73612,             0.26359,             0.32078,             0.17301,            0.041113,             0.04377,            0.058883,            0.009505,            0.009505,            0.009505
                   7,            0.047425,             0.05028,            0.065863,             0.80506,             0.26541,             0.34192,              0.1796,            0.039881,            0.042052,            0.057513,            0.009406,            0.009406,            0.009406
                   8,            0.047482,             0.05216,            0.065083,             0.77236,              0.2902,             0.35379,             0.20403,            0.039256,            0.041645,            0.057182,            0.009307,            0.009307,            0.009307
                   9,            0.045931,            0.051385,            0.063218,             0.79093,             0.28665,             0.36231,             0.19169,            0.039575,            0.041543,            0.055557,            0.009208,            0.009208,            0.009208
                  10,            0.046563,            0.051654,            0.062257,             0.77424,              0.3053,             0.37056,             0.20305,            0.041043,            0.042069,            0.055701,            0.009109,            0.009109,            0.009109
                  11,             0.04635,            0.051359,            0.062439,             0.83014,             0.30952,             0.39379,             0.22739,            0.038707,            0.040663,            0.054207,             0.00901,             0.00901,             0.00901
                  12,             0.04467,            0.049723,            0.060448,             0.77417,             0.29132,             0.35481,             0.19916,            0.038624,            0.041058,            0.054246,            0.008911,            0.008911,            0.008911
                  13,            0.045145,            0.049892,            0.059647,             0.77564,             0.30713,             0.37545,             0.22095,            0.038787,            0.042128,            0.053224,            0.008812,            0.008812,            0.008812
                  14,            0.044123,            0.049199,            0.059212,             0.81482,              0.3225,             0.40593,             0.22732,             0.03844,            0.040451,            0.052605,            0.008713,            0.008713,            0.008713
                  15,            0.044221,            0.051338,            0.058408,             0.79395,             0.33275,             0.41105,             0.24924,            0.036744,            0.040637,            0.052162,            0.008614,            0.008614,            0.008614
                  16,            0.043995,            0.052437,            0.058217,             0.77542,             0.32596,             0.40324,             0.24473,            0.036762,            0.039916,            0.051974,            0.008515,            0.008515,            0.008515
                  17,            0.043471,            0.048499,            0.057949,             0.83423,             0.31369,             0.40983,             0.24856,            0.036994,            0.040731,            0.051832,            0.008416,            0.008416,            0.008416
                  18,            0.043444,            0.049466,            0.057118,             0.82204,             0.31946,             0.40929,             0.23851,            0.037242,            0.040058,            0.051433,            0.008317,            0.008317,            0.008317
                  19,            0.044159,             0.04844,            0.056175,              0.8042,               0.344,             0.43449,             0.25908,            0.037985,            0.039726,             0.04938,            0.008218,            0.008218,            0.008218
                  20,            0.042669,            0.047201,            0.054766,              0.7545,             0.35527,             0.43034,             0.26629,            0.035384,            0.039267,            0.049457,            0.008119,            0.008119,            0.008119
                  21,             0.04345,            0.048705,            0.055035,             0.81017,             0.35641,              0.4414,             0.26246,            0.035937,            0.039403,            0.050099,             0.00802,             0.00802,             0.00802
                  22,             0.04285,             0.04878,            0.054561,             0.79908,             0.33864,             0.42502,             0.25567,            0.035689,            0.040753,            0.049807,            0.007921,            0.007921,            0.007921
                  23,            0.042389,            0.047068,            0.053601,             0.80063,             0.35691,             0.44966,             0.26666,            0.035834,            0.039144,            0.048706,            0.007822,            0.007822,            0.007822
                  24,            0.042629,            0.046791,            0.053193,             0.80602,             0.37025,             0.45761,             0.28712,            0.035263,            0.038383,            0.047632,            0.007723,            0.007723,            0.007723
                  25,            0.042771,            0.049715,            0.051977,             0.84424,             0.35645,             0.46322,             0.28667,            0.034934,            0.039044,             0.04734,            0.007624,            0.007624,            0.007624
                  26,            0.041984,            0.047373,            0.052595,             0.84696,             0.36584,             0.47142,             0.29471,            0.034403,            0.038961,            0.047036,            0.007525,            0.007525,            0.007525
                  27,            0.042023,            0.049407,            0.051571,             0.78078,             0.37285,              0.4541,             0.27372,            0.037323,            0.039992,            0.049804,            0.007426,            0.007426,            0.007426
                  28,            0.041091,             0.04562,             0.05069,             0.79914,             0.40525,             0.49519,             0.31009,            0.034459,            0.038335,            0.045904,            0.007327,            0.007327,            0.007327
                  29,             0.04197,            0.048881,            0.050863,              0.8062,              0.4072,             0.49921,             0.32378,            0.032982,            0.037425,            0.044915,            0.007228,            0.007228,            0.007228
                  30,            0.040946,            0.045911,            0.049773,             0.78172,             0.41597,               0.501,             0.30806,            0.033969,            0.037966,            0.044514,            0.007129,            0.007129,            0.007129
